Sectors - Mt CO2 eq,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
NATIONAL TOTAL,595,588,605,608,628,645,667,682,689,702,727,718,724,743,745,741,735,757,739,698,710,721,726,732,730,733,715,725,740,738,672
Oil and Gas,103,102,111,118,122,128,135,137,141,150,155,157,162,166,168,171,178,183,180,177,181,187,194,199,205,205,194,196,205,203,179
Electricity,95,96,103,93,95,98,98,109,122,119,129,129,124,127,119,118,112,120,109,94,95,87,83,80,76,80,74,73,63,62,56
Transport,120,114,115,117,121,122,126,131,137,143,145,147,148,152,156,160,161,164,165,162,167,168,171,174,171,172,173,179,184,185,159
Heavy Industry,97,97,95,94,100,100,103,103,98,95,94,88,89,88,92,87,87,86,85,72,75,80,80,79,79,78,76,76,77,77,72
Buildings,71,71,72,76,76,77,83,81,72,76,83,79,84,89,88,84,78,84,84,83,79,85,83,84,85,84,82,87,93,92,88
Agriculture,52,52,55,57,59,62,63,64,64,63,64,63,63,65,66,66,65,65,64,62,62,62,64,65,64,65,65,64,66,67,69
Waste,24,25,25,25,26,26,26,26,27,28,28,28,29,29,28,29,29,28,28,27,26,26,26,26,26,26,26,27,27,27,27
Coal Production,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,3,3,2,3,3,3,3,2,2,2,2,3,3,2
"Light Manufacturing, Construction and Forest Resources",28,27,26,24,25,27,27,28,24,24,25,24,24,24,25,24,22,24,23,20,22,23,22,22,21,21,21,22,22,22,20
