Year,Region,Index,Source,CO2eq,Unit
1990,Alberta,0,Provincial Inventory Total,165.65,Mt
1990,Alberta,1,Oil and Gas,61.96,Mt
1990,Alberta,2,Electricity,39.76,Mt
1990,Alberta,3,Transport,15.78,Mt
1990,Alberta,4,Heavy Industry,12.59,Mt
1990,Alberta,5,Buildings,12.03,Mt
1990,Alberta,6,Agriculture,14.95,Mt
1990,Alberta,7,Waste,2.4,Mt
1990,Alberta,8,Coal Production,0.6,Mt
1990,Alberta,9,"Light Manufacturing, Construction and Forest Resources",5.58,Mt
1990,British Columbia,10,Provincial Inventory Total,51.67,Mt
1990,British Columbia,11,Oil and Gas,7.87,Mt
1990,British Columbia,12,Electricity,0.86,Mt
1990,British Columbia,13,Transport,15.82,Mt
1990,British Columbia,14,Heavy Industry,8.72,Mt
1990,British Columbia,15,Buildings,7.53,Mt
1990,British Columbia,16,Agriculture,2.48,Mt
1990,British Columbia,17,Waste,4.08,Mt
1990,British Columbia,18,Coal Production,1.75,Mt
1990,British Columbia,19,"Light Manufacturing, Construction and Forest Resources",2.56,Mt
1990,Canada,20,National Inventory Total,594.72,Mt
1990,Canada,21,Oil and Gas,102.65,Mt
1990,Canada,22,Electricity,94.72,Mt
1990,Canada,23,Transport,120.48,Mt
1990,Canada,24,Heavy Industry,97.22,Mt
1990,Canada,25,Buildings,71.25,Mt
1990,Canada,26,Agriculture,51.73,Mt
1990,Canada,27,Waste,24.42,Mt
1990,Canada,28,Coal Production,4.03,Mt
1990,Canada,29,"Light Manufacturing, Construction and Forest Resources",28.24,Mt
1990,Manitoba,30,Provincial Inventory Total,18.27,Mt
1990,Manitoba,31,Oil and Gas,1.54,Mt
1990,Manitoba,32,Electricity,0.52,Mt
1990,Manitoba,33,Transport,5.01,Mt
1990,Manitoba,34,Heavy Industry,1.34,Mt
1990,Manitoba,35,Buildings,3.06,Mt
1990,Manitoba,36,Agriculture,5.22,Mt
1990,Manitoba,37,Waste,0.99,Mt
1990,Manitoba,38,"Light Manufacturing, Construction and Forest Resources",0.59,Mt
1990,New Brunswick,39,Provincial Inventory Total,16.22,Mt
1990,New Brunswick,40,Oil and Gas,1.22,Mt
1990,New Brunswick,41,Electricity,6.02,Mt
1990,New Brunswick,42,Transport,3.75,Mt
1990,New Brunswick,43,Heavy Industry,1.78,Mt
1990,New Brunswick,44,Buildings,1.65,Mt
1990,New Brunswick,45,Agriculture,0.54,Mt
1990,New Brunswick,46,Waste,0.83,Mt
1990,New Brunswick,47,Coal Production,0.01,Mt
1990,New Brunswick,48,"Light Manufacturing, Construction and Forest Resources",0.41,Mt
1990,Newfoundland and Labrador,49,Provincial Inventory Total,9.59,Mt
1990,Newfoundland and Labrador,50,Oil and Gas,1.07,Mt
1990,Newfoundland and Labrador,51,Electricity,1.64,Mt
1990,Newfoundland and Labrador,52,Transport,3,Mt
1990,Newfoundland and Labrador,53,Heavy Industry,1.81,Mt
1990,Newfoundland and Labrador,54,Buildings,1.06,Mt
1990,Newfoundland and Labrador,55,Agriculture,0.08,Mt
1990,Newfoundland and Labrador,56,Waste,0.72,Mt
1990,Newfoundland and Labrador,57,"Light Manufacturing, Construction and Forest Resources",0.21,Mt
1990,Northwest Territories and Nunavut,58,Territorial Inventory Total,1.79,Mt
1990,Northwest Territories and Nunavut,59,Oil and Gas,0.39,Mt
1990,Northwest Territories and Nunavut,60,Electricity,0.16,Mt
1990,Northwest Territories and Nunavut,61,Transport,0.6,Mt
1990,Northwest Territories and Nunavut,62,Heavy Industry,0.13,Mt
1990,Northwest Territories and Nunavut,63,Buildings,0.41,Mt
1990,Northwest Territories and Nunavut,64,Agriculture,0,Mt
1990,Northwest Territories and Nunavut,65,Waste,0.04,Mt
1990,Northwest Territories and Nunavut,66,"Light Manufacturing, Construction and Forest Resources",0.06,Mt
1990,Nova Scotia,67,Provincial Inventory Total,19.53,Mt
1990,Nova Scotia,68,Oil and Gas,0.72,Mt
1990,Nova Scotia,69,Electricity,6.92,Mt
1990,Nova Scotia,70,Transport,4.48,Mt
1990,Nova Scotia,71,Heavy Industry,0.97,Mt
1990,Nova Scotia,72,Buildings,2.96,Mt
1990,Nova Scotia,73,Agriculture,0.58,Mt
1990,Nova Scotia,74,Waste,0.89,Mt
1990,Nova Scotia,75,Coal Production,1.63,Mt
1990,Nova Scotia,76,"Light Manufacturing, Construction and Forest Resources",0.39,Mt
1990,Ontario,77,Provincial Inventory Total,180.02,Mt
1990,Ontario,78,Oil and Gas,10.25,Mt
1990,Ontario,79,Electricity,25.99,Mt
1990,Ontario,80,Transport,41.43,Mt
1990,Ontario,81,Heavy Industry,43.25,Mt
1990,Ontario,82,Buildings,27.09,Mt
1990,Ontario,83,Agriculture,11.47,Mt
1990,Ontario,84,Waste,8.12,Mt
1990,Ontario,85,"Light Manufacturing, Construction and Forest Resources",12.42,Mt
1990,Prince Edward Island,86,Provincial Inventory Total,1.79,Mt
1990,Prince Edward Island,87,Oil and Gas,0,Mt
1990,Prince Edward Island,88,Electricity,0.1,Mt
1990,Prince Edward Island,89,Transport,0.58,Mt
1990,Prince Edward Island,90,Heavy Industry,0,Mt
1990,Prince Edward Island,91,Buildings,0.57,Mt
