Year,Region,Index,Source,Category,Sub-category,Sub-sub-category,Total,CO2eq,Unit
1990,Alberta,0,Provincial Inventory Total,,,,TRUE,165.65,Mt
1990,Alberta,1,Oil and Gas,,,,TRUE,61.96,Mt
1990,Alberta,2,Oil and Gas,Upstream Oil and Gas,,,TRUE,58.36,Mt
1990,Alberta,3,Oil and Gas,Upstream Oil and Gas,Natural Gas Production and Processing,,FALSE,23.94,Mt
1990,Alberta,4,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,,TRUE,15.49,Mt
1990,Alberta,5,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,Conventional Light Oil Production,FALSE,9.77,Mt
1990,Alberta,6,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,Conventional Heavy Oil Production,FALSE,5.73,Mt
1990,Alberta,8,Oil and Gas,Upstream Oil and Gas,"Oil Sands (Mining, In-situ, Upgrading)",,TRUE,15.05,Mt
1990,Alberta,9,Oil and Gas,Upstream Oil and Gas,"Oil Sands (Mining, In-situ, Upgrading)",Mining and Extraction,FALSE,2.17,Mt
1990,Alberta,10,Oil and Gas,Upstream Oil and Gas,"Oil Sands (Mining, In-situ, Upgrading)",In-situ,FALSE,4.53,Mt
1990,Alberta,11,Oil and Gas,Upstream Oil and Gas,"Oil Sands (Mining, In-situ, Upgrading)",Upgrading,FALSE,8.35,Mt
1990,Alberta,12,Oil and Gas,Upstream Oil and Gas,"Oil, Natural Gas and CO2  Transmission",,FALSE,3.87,Mt
1990,Alberta,13,Oil and Gas,Downstream Oil and Gas,,,TRUE,3.61,Mt
1990,Alberta,14,Oil and Gas,Downstream Oil and Gas,Petroleum Refining,,FALSE,3.19,Mt
1990,Alberta,15,Oil and Gas,Downstream Oil and Gas,Natural Gas Distribution,,FALSE,0.41,Mt
1990,Alberta,16,Electricity,,,,FALSE,39.76,Mt
1990,Alberta,17,Transport,,,,TRUE,15.78,Mt
1990,Alberta,18,Transport,Passenger Transport,,,TRUE,9.06,Mt
1990,Alberta,19,Transport,Passenger Transport,"Cars, Light Trucks and Motorcycles",,FALSE,8.04,Mt
1990,Alberta,20,Transport,Passenger Transport,"Bus, Rail and Aviation",,FALSE,1.02,Mt
1990,Alberta,21,Transport,Freight Transport,,,TRUE,4.60,Mt
1990,Alberta,22,Transport,Freight Transport,"Heavy Duty Trucks, Rail",,FALSE,4.37,Mt
1990,Alberta,23,Transport,Freight Transport,Aviation and Marine,,FALSE,0.23,Mt
1990,Alberta,24,Transport,"Other: Recreational, Commercial and Residential",,,FALSE,2.12,Mt
1990,Alberta,25,Heavy Industry,,,,TRUE,12.59,Mt
1990,Alberta,26,Heavy Industry,Mining,,,FALSE,0.25,Mt
1990,Alberta,27,Heavy Industry,Smelting and Refining (Non-Ferrous Metals),,,FALSE,0.43,Mt
1990,Alberta,28,Heavy Industry,Pulp and Paper,,,FALSE,0.50,Mt
